1	Nervous system	NS	UBERON:0001016	nervous system
1.1	Cerebrospinal axis	CSA	UBERON:0001017	central nervous system
1.1.1	Cerebral cortex	CTX	UBERON:0000956	cerebral cortex
1.1.1.1	Primary visual cortex	VISp	UBERON:0002436	primary visual cortex
1.1.1.10	Posterior cingulate cortex	RSP	UBERON:0022353	posterior cingulate cortex
1.1.1.12	Olfactory bulb	OB 	UBERON:0002264	olfactory bulb
1.1.1.12.1	Main olfactory bulb	MOB	UBERON:0009951	main olfactory bulb
1.1.1.12.3	Anterior olfactory nucleus	AON	UBERON:0002266	anterior olfactory nucleus
1.1.1.13	Hippocampal formation	HIP	UBERON:0002421	hippocampal formation
1.1.1.13.1	Dentate gyrus	DG	UBERON:0001885	dentate gyrus of hippocampal formation
1.1.1.13.2	CA1 field	CA1	UBERON:0003881	CA1 field of hippocampus
1.1.1.13.3	CA2 field	CA2	UBERON:0003882	CA2 field of hippocampus
1.1.1.13.4	CA3 field	CA3	UBERON:0003883	CA3 field of hippocampus
1.1.1.13.5	Subiculum	Sub	UBERON:0002191	subiculum
1.1.1.14	Insula	INS	UBERON:0002022	insula
1.1.1.15	Piriform cortex	PIR	UBERON:0004725	piriform cortex
1.1.1.16	Entorhinal cortex	ENT	UBERON:0002728	entorhinal cortex
1.1.1.17	Claustrum	CLA	UBERON:0002023	claustrum of brain
1.1.1.18	Endopiriform nucleus	EP	UBERON:0014284	endopiriform nucleus
1.1.1.19	Amygdala	Amy	UBERON:0001876	amygdala
1.1.1.19.3	Central amygdala	CEA	UBERON:0002883	central amygdaloid nucleus
1.1.1.19.5.2	Basolateral complex	BL	UBERON:0006107	basolateral amygdaloid nuclear complex
1.1.1.2	Associative visual cortex	VISa	UBERON:0034750	visual association cortex
1.1.1.3	Primary auditory cortex	AUDp	UBERON:0034751	primary auditory cortex
1.1.1.4	Associative auditory cortex	AUDa	UBERON:0006096	posterior transverse temporal area 42
1.1.1.5	Primary somatosensory cortex	SSp	UBERON:0008933	primary somatosensory cortex
1.1.1.7	Primary motor cortex	MOp	UBERON:0001384	primary motor cortex
1.1.1.9	Anterior cingulate cortex	ACA	UBERON:0009835	anterior cingulate cortex
1.1.1.9	Anterior cingulate cortex	ACA	UBERON:0022438	rostral anterior cingulate cortex
1.1.2	Cerebral nuclei	CNU	UBERON:0010011	collection of basal ganglia
1.1.2.2	Pallidum	PAL	UBERON:0006514	pallidum
1.1.2.2.1	Globus pallidus	GP	UBERON:0001875	globus pallidus
1.1.2.2.1.1	Globus pallidus external part	GPex	UBERON:0002476	lateral globus pallidus
1.1.2.2.1.2	Globus pallidus internal part	GPin	UBERON:0002477	medial globus pallidus
1.1.2.2.3	Septum (medial part)	MS	UBERON:0002912	marginal sulcus
1.1.2.2.5	Substantia innominata	SI	UBERON:0003017	substantia innominata
1.1.2.2.6	Islands of Calleja	IS	UBERON:0001881	island of Calleja
1.1.2.2.7	Bed nuclei of the stria terminalis	BST	UBERON:0001880	bed nucleus of stria terminalis
1.1.3	Brainstem	BS	UBERON:0002298	brainstem
1.1.3.1	Diencephalon	IB	UBERON:0001894	diencephalon
1.1.3.1	Striatum	STR	UBERON:0002435	striatum
1.1.3.1.1	Dorsal striatum	CP	UBERON:0005382	dorsal striatum
1.1.3.1.1	Thalamus	TH	UBERON:0001897	dorsal plus ventral thalamus
1.1.3.1.1.1	Dorsal thalamus	DOR	UBERON:0004703	dorsal thalamus
1.1.3.1.1.1.1	Dorsal thalamus, lateral group	DORl	UBERON:0002736	lateral nuclear group of thalamus
1.1.3.1.1.1.1.1	Lateral dorsal nucleus	LD	UBERON:0002984	lateral dorsal nucleus
1.1.3.1.1.1.1.2	Lateral posterior nucleus	LP	UBERON:0002983	lateral posterior nucleus of thalamus
1.1.3.1.1.1.1.3	Posterior nuclear nucleus	PO	UBERON:0002866	caudal part of spinal trigeminal nucleus
1.1.3.1.1.1.1.3	Posterior nuclear nucleus	PO	UBERON:2000647	dorsal caudal thalamic nucleus
1.1.3.1.1.1.2	Dorsal thalamus, ventral group	DORv	UBERON:0002776	ventral nuclear group
1.1.3.1.1.1.3.1	Medial geniculate complex	MG	UBERON:0001927	medial geniculate body
1.1.3.1.1.1.3.1.1	Medial geniculate complex dorsal part	MGd	UBERON:0002758	dorsal nucleus of medial geniculate body
1.1.3.1.1.1.3.1.2	Medial geniculate complex ventral part	MGv	UBERON:0002985	ventral nucleus of medial geniculate body
1.1.3.1.1.1.3.1.3	Medial geniculate complex medial part	MGm	UBERON:0002759	magnocellular nucleus of medial geniculate body
1.1.3.1.1.1.3.2	Lateral geniculate nucleus, dorsal part	LGd	UBERON:0002479	dorsal lateral geniculate nucleus
1.1.3.1.1.1.4.1	Suprageniculate nucleus of the thalamus	SGN	UBERON:0003033	suprageniculate nucleus of thalamus
1.1.3.1.1.1.5.1	Centromedial nucleus of the thalamus	CM	UBERON:0001923	central medial nucleus
1.1.3.1.1.1.5.1	Centromedial nucleus of the thalamus	CM	UBERON:0002972	centromedian nucleus of thalamus
1.1.3.1.1.1.5.2	Parataenial nucleus of the thalamus	PT	UBERON:0002992	paratenial nucleus
1.1.3.1.1.1.5.3	Rhomboid nucleus of the thalamus	RH	UBERON:0002955	rhomboidal nucleus
1.1.3.1.1.1.5.4	Reuniens nucleus of the thalamus	RE	UBERON:0001921	reuniens nucleus
1.1.3.1.1.1.5.5	Paraventricular nucleus of the thalamus	PVT	UBERON:0000433	posterior paraventricular nucleus of thalamus
1.1.3.1.1.1.5.5	Paraventricular nucleus of the thalamus	PVT	UBERON:0001920	paraventricular nucleus of thalamus
1.1.3.1.1.1.5.6	Central nucleus of the thalamus	CL	UBERON:0003034	central dorsal nucleus
1.1.3.1.1.1.5.6	Central nucleus of the thalamus	CL	UBERON:0003036	central lateral nucleus
1.1.3.1.1.1.6	Mediodorsal nucleus of the thalamus	MD	UBERON:0002739	medial dorsal nucleus of thalamus
1.1.3.1.1.1.6.1	Mediodorsal nucleus of the thalamus medial part	MDm	UBERON:0002647	magnocellular part of medial dorsal nucleus
1.1.3.1.1.1.7	Anterior group of the dorsal thalamus	ATN	UBERON:0002788	anterior nuclear group
1.1.3.1.1.1.7.1	Anteroventral nucleus of the thalamus	AV	UBERON:0002685	anteroventral nucleus of thalamus
1.1.3.1.1.1.7.2	Anterodorsal nucleus of the thalamus	AD	UBERON:0002679	anterodorsal nucleus of thalamus
1.1.3.1.1.1.7.3	Anteromedial nucleus of the thalamus	AM	UBERON:0002681	anteromedial nucleus of thalamus
1.1.3.1.1.2	Ventral thalamus	VNT	UBERON:0001900	ventral thalamus
1.1.3.1.1.2.2	Lateral geniculate nucleus, ventral part	LGv	UBERON:0002480	ventral lateral geniculate nucleus
1.1.3.1.1.2.2.1	Ventral-anterior nucleus of the thalamus	VA	UBERON:0002637	ventral anterior nucleus
1.1.3.1.1.2.2.1	Ventral-anterior nucleus of the thalamus	VA	UBERON:0002685	anteroventral nucleus of thalamus
1.1.3.1.1.2.2.2	Ventral-lateral nucleus of the thalamus	VL	UBERON:0001925	ventral lateral nucleus
1.1.3.1.1.2.2.3	Ventral-medial nucleus of the thalamus	VM	UBERON:0002614	medial part of ventral lateral nucleus
1.1.3.1.1.2.2.4	Ventral-posterior nucleus of th thalamus	VP	UBERON:0002596	ventral posterior nucleus of thalamus
1.1.3.1.1.2.2.4	Ventral-posterior nucleus of th thalamus	VP	UBERON:0014913	ventral pallium
1.1.3.1.1.2.3	Zona incerta	ZI	UBERON:0001907	zona incerta
1.1.3.1.1.3	Epithalamus	EPI	UBERON:0001899	epithalamus
1.1.3.1.1.3.1	Lateral habenula	LH	UBERON:0001941	lateral habenular nucleus
1.1.3.1.1.3.1	Reticular nucleus of the thalamus	RT	UBERON:0001903	thalamic reticular nucleus
1.1.3.1.1.3.2	Medial habenula	MH	UBERON:0001942	medial habenular nucleus
1.1.3.1.2	Hypothalamus	HY	UBERON:0001898	hypothalamus
1.1.3.1.2	Ventral striatum	STRv	UBERON:0005403	ventral striatum
1.1.3.1.2.1	Nucleus accumbens	ACB	UBERON:0001882	nucleus accumbens
1.1.3.1.2.1	Periventricular zone	PVZ	UBERON:0002271	periventricular zone of hypothalamus
1.1.3.1.2.1.1	Paraventricular nucleus	PVH	UBERON:0001930	paraventricular nucleus of hypothalamus
1.1.3.1.2.1.2	Periventricular preoptic nucleus	PVp	UBERON:0002622	preoptic periventricular nucleus
1.1.3.1.2.1.3	Supraoptic nucleus	SO	UBERON:0001929	supraoptic nucleus
1.1.3.1.2.2	Medial zone	MEZ	UBERON:0002272	medial zone of hypothalamus
1.1.3.1.2.2	Olfactory tubercle	OT	UBERON:0001883	olfactory tubercle
1.1.3.1.2.2.1	Medial preoptic nucleus	MPO	UBERON:0002035	medial preoptic nucleus
1.1.3.1.2.2.2.1	Anterior preoptic nucleus	APN	UBERON:0002565	olivary pretectal nucleus
1.1.3.1.2.2.2.2	Anterior hypothalamic nucleus	AHN	UBERON:0002634	anterior nucleus of hypothalamus
1.1.3.1.2.2.2.3	Suprachiasmatic nucleus	SCH	UBERON:0002034	suprachiasmatic nucleus
1.1.3.1.2.2.3.1	Ventromedial nucleus	VMH	UBERON:0001935	ventromedial nucleus of hypothalamus
1.1.3.1.2.2.3.2	Dorsomedial nucleus	DMH	UBERON:0002739	medial dorsal nucleus of thalamus
1.1.3.1.2.2.4.1	Dorsal premammillary nucleus	PMd	UBERON:0007767	dorsal premammillary nucleus
1.1.3.1.2.2.4.2	Ventral premammillary nucleus	PMv	UBERON:0007768	ventral premammillary nucleus
1.1.3.1.2.2.4.3	Medial mammillary nucleus	MM	UBERON:0001939	medial mammillary nucleus
1.1.3.1.2.2.4.4	Lateral mammillary nucleus	LM	UBERON:0001938	lateral mammillary nucleus
1.1.3.1.2.3	Posterior hypothalamic nucleus	PH	UBERON:0002706	posterior nucleus of hypothalamus
1.1.3.1.2.3	Septum (lateral part)	LS	UBERON:0002721	lateral sulcus
1.1.3.1.2.4	Lateral zone	LZ	UBERON:0002273	lateral zone of hypothalamus
1.1.3.1.2.4	Meynert's nucleus	MA	UBERON:0010010	basal nucleus of telencephalon
1.1.3.1.2.5	Lateral hypothalamic area	LHA	UBERON:0002430	lateral hypothalamic area
1.1.3.1.2.5.1	Lateral preoptic area	LPO	UBERON:0001931	lateral preoptic nucleus
1.1.3.1.2.6	Subthalamic nucleus	STN	UBERON:0001906	subthalamic nucleus
1.1.3.1.2.7	Retina	R	UBERON:0000966	retina
1.1.3.2	Midbrain	MB	UBERON:0001891	midbrain
1.1.3.2.1	Substantia nigra	SN	UBERON:0002038	substantia nigra
1.1.3.2.1.1	Substantia nigra pars compacta	SNc	UBERON:0001965	substantia nigra pars compacta
1.1.3.2.1.1	Substantia nigra pars reticulata	SNr	UBERON:0001966	substantia nigra pars reticulata
1.1.3.2.2	Tectum	TC	UBERON:0002314	midbrain tectum
1.1.3.2.2.1	Inferior colliculus	IC	UBERON:0001946	inferior colliculus
1.1.3.2.2.2	Superior colliculus	SC	UBERON:0001945	superior colliculus
1.1.3.2.2.2	Superior colliculus	SC	UBERON:0002240	spinal cord
1.1.3.2.3	Tegmentum	TG	UBERON:0024151	tegmentum
1.1.3.2.3.1	Ventral tegmental area	VTA	UBERON:0002691	ventral tegmental area
1.1.3.2.3.2	Periaqueductal gray	PAG	UBERON:0003040	central gray substance of midbrain
1.1.3.2.3.3	Red nucleus	RN	UBERON:0001947	red nucleus
1.1.3.2.4	Pretectal region	PRT	UBERON:0001944	pretectal region
1.1.3.2.4.3	Posterior pretectal nucleus	PPN	UBERON:0006848	posterior pretectal nucleus
1.1.3.2.4.4	Olivary pretectal nucleus	OP	UBERON:0002565	olivary pretectal nucleus
1.1.3.3	Cerebellum	CB	UBERON:0002037	cerebellum
1.1.3.3.1	Cerebellar cortex	CBX	UBERON:0002129	cerebellar cortex
1.1.3.3.1.1	Anterior lobe	ALC	UBERON:0002131	anterior lobe of cerebellum
1.1.3.3.1.1	Anterior lobe	ALC	UBERON:0002196	adenohypophysis
1.1.3.3.1.1	Anterior lobe	ALC	UBERON:0006964	pars distalis of adenohypophysis
1.1.3.3.1.2	Posterior lobe	PLC	UBERON:0003217	neural lobe of neurohypophysis
1.1.3.3.1.2	Posterior lobe	PLC	UBERON:0004002	posterior lobe of cerebellum
1.1.3.3.1.3	Flocculonodular lobe	FNL	UBERON:0003012	flocculonodular lobe
1.1.3.3.2	Deep cerebellar nuclei	DCN	UBERON:0002130	cerebellar nuclear complex
1.1.3.3.2	Deep cerebellar nuclei	DCN	UBERON:0002829	dorsal cochlear nucleus
1.1.4	Hindbrain	HB	UBERON:0002028	hindbrain
1.1.4.1	Pons	P	UBERON:0000988	pons
1.1.4.3	Nucleus of the trapezoid body	NTB	UBERON:0007633	nucleus of trapezoid body
1.1.4.4	Parabrachial nucleus	PB	UBERON:0007634	parabrachial nucleus
1.1.4.5	Kolliker-Fuse nucleus	KF	UBERON:0002869	diffuse reticular nucleus
1.1.4.6	Locus coeruleus	LC	UBERON:0002148	locus ceruleus
1.1.5	Medulla	MY	UBERON:0001896	medulla oblongata
1.1.5.1	Nucleus of the solitary tract	NTS	UBERON:0009050	nucleus of solitary tract
1.1.5.4	Ventral cochlear nucleus	VCN	UBERON:0002828	ventral cochlear nucleus
1.1.5.5	Inferior olive	IO	UBERON:0002127	inferior olivary complex
1.1.5.6	Area postrema	AP	UBERON:0002162	area postrema
1.2	Peripheric nervous system	PNS	UBERON:0000010	peripheral nervous system
1.3	Enteric Nervous System	ENS	UBERON:0002005	enteric nervous system
